problem,num_obj,phase,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ4,7,decision,1.8142452243488614,0.2823041632085081,,
DTLZ4,8,learning,1.3069134208772855,1.3606277278715146,,
DTLZ4,8,decision,1.327038846390775,1.2341080872749015,,
DTLZ4,9,learning,1.3016085422534536,1.3629379952906866,,
DTLZ4,9,decision,1.1555411669827933,1.090289495100655,,
DTLZ1,3,learning,2.442862754668605,2.4118017170708503,33.71732061013425,34.23380153945069
DTLZ1,3,decision,2.2923670573206696,2.2878539476239967,25.883746509350352,25.91752872836193
DTLZ1,4,learning,2.7413089366165106,2.7368711655718667,,
DTLZ1,4,decision,2.610140865076568,2.579503859863858,,
DTLZ1,5,learning,2.509760010921707,2.51386921672049,,
DTLZ1,5,decision,2.3321941339404333,2.331599636682994,,
DTLZ1,6,learning,2.478266657304233,2.7316257832809345,,
DTLZ1,6,decision,1.7001458064079418,1.7130599165510452,,
DTLZ1,7,learning,2.658548777708144,2.7159398741184635,,
DTLZ1,7,decision,2.041918218391883,2.6477874204049883,,
DTLZ1,8,learning,2.5067411207271895,2.4911796822215377,,
DTLZ1,8,decision,2.2671122648054056,2.3220038425436775,,
DTLZ1,9,learning,2.5198555449688813,2.73400689989508,,
DTLZ1,9,decision,2.0301228613930684,2.4381545436040555,,
